Identity,Model,Subgroup_N,FPR_Sub,FPR_Back,FPR_Gap,FNR_Sub,FNR_Back,FNR_Gap,FPR_Severity,FNR_Severity
male,LR Baseline,91,0.04,0.0043,0.0357,0.8333,0.7545,0.0788,Moderate,Serious
female,LR Baseline,106,0.0,0.0086,0.0086,0.7949,0.761,0.0339,Minimal,Moderate
homosexual_gay_or_lesbian,LR Baseline,38,0.125,0.004,0.121,0.7333,0.7705,0.0372,Serious,Moderate
christian,LR Baseline,33,0.0,0.008,0.008,0.7391,0.7694,0.0303,Minimal,Moderate
muslim,LR Baseline,29,0.0,0.0079,0.0079,0.7391,0.7694,0.0303,Minimal,Moderate
black,LR Baseline,39,0.25,0.0039,0.2461,0.8286,0.7618,0.0668,Serious,Serious
white,LR Baseline,52,0.0769,0.004,0.0729,0.7436,0.7703,0.0267,Serious,Moderate
male,Vanilla BERT,91,0.48,0.2043,0.2757,0.0909,0.103,0.0121,Serious,Minimal
female,Vanilla BERT,106,0.3571,0.2155,0.1416,0.1154,0.0975,0.0179,Serious,Minimal
homosexual_gay_or_lesbian,Vanilla BERT,38,0.5,0.2222,0.2778,0.0667,0.1038,0.0372,Serious,Moderate
christian,Vanilla BERT,33,0.3,0.228,0.072,0.087,0.1019,0.0149,Serious,Minimal
muslim,Vanilla BERT,29,0.6667,0.2205,0.4462,0.1739,0.0965,0.0774,Serious,Serious
black,Vanilla BERT,39,1.0,0.2188,0.7812,0.0857,0.1025,0.0168,Serious,Minimal
white,Vanilla BERT,52,0.6923,0.2065,0.4858,0.0769,0.1036,0.0267,Serious,Moderate
male,Adaptive BERT,91,0.48,0.2426,0.2374,0.0909,0.097,0.0061,Serious,Minimal
female,Adaptive BERT,106,0.3929,0.25,0.1429,0.1154,0.0912,0.0242,Serious,Moderate
homosexual_gay_or_lesbian,Adaptive BERT,38,0.75,0.25,0.5,0.0333,0.1011,0.0678,Serious,Serious
christian,Adaptive BERT,33,0.4,0.26,0.14,0.0435,0.0992,0.0557,Serious,Serious
muslim,Adaptive BERT,29,0.6667,0.2559,0.4108,0.1304,0.0938,0.0366,Serious,Moderate
black,Adaptive BERT,39,1.0,0.2539,0.7461,0.0571,0.0997,0.0426,Serious,Moderate
white,Adaptive BERT,52,0.7692,0.2389,0.5304,0.0769,0.098,0.0211,Serious,Moderate
male,HateBERT+CDA+Asym,91,0.52,0.2596,0.2604,0.1212,0.0848,0.0364,Serious,Moderate
female,HateBERT+CDA+Asym,106,0.5357,0.2543,0.2814,0.0641,0.0975,0.0334,Serious,Moderate
homosexual_gay_or_lesbian,HateBERT+CDA+Asym,38,0.625,0.2738,0.3512,0.0333,0.0956,0.0623,Serious,Serious
christian,HateBERT+CDA+Asym,33,0.3,0.284,0.016,0.0435,0.0938,0.0504,Minimal,Serious
muslim,HateBERT+CDA+Asym,29,0.3333,0.2835,0.0499,0.087,0.0912,0.0042,Moderate,Minimal
black,HateBERT+CDA+Asym,39,0.75,0.2773,0.4727,0.1143,0.0886,0.0256,Serious,Moderate
white,HateBERT+CDA+Asym,52,0.6923,0.2632,0.4291,0.1795,0.0812,0.0983,Serious,Serious
